Date,ProductId,Product,Product_Type,Product_Category,Sales,Profit,Margin,COGS,Total_Expenses,Marketing,Inventory,Budget_Profit,Budget_COGS,Budget_Margin,Budget_Sales,Area_Code,State,Market,Market_Size
01-01-2010,11,Darjeeling,Tea,Regular,45,10,27,18,17,5,821,20,10,30,40,603,New Hampshire,East,Small Market
01-01-2010,13,Green Tea,Tea,Regular,43,11,26,17,15,4,777,20,10,30,40,603,New Hampshire,East,Small Market
01-01-2010,7,Regular Espresso,Espresso,Regular,65,-8,36,29,44,11,169,0,20,40,60,603,New Hampshire,East,Small Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,90,-10,53,37,63,34,261,0,30,50,80,603,New Hampshire,East,Small Market
01-01-2010,1,Amaretto,Coffee,Regular,93,20,55,38,35,12,241,30,30,50,80,603,New Hampshire,East,Small Market
01-01-2010,2,Columbian,Coffee,Regular,120,25,72,48,47,15,372,40,40,70,110,603,New Hampshire,East,Small Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,76,-4,42,34,46,12,197,0,20,30,50,603,New Hampshire,East,Small Market
01-01-2010,11,Darjeeling,Tea,Regular,234,101,139,95,38,26,821,120,100,150,250,347,New York,East,Major Market
01-01-2010,12,Earl Grey,Tea,Regular,219,94,130,89,36,24,777,110,90,140,230,646,New York,East,Major Market
01-01-2010,13,Green Tea,Tea,Regular,134,54,80,54,26,15,456,70,50,90,140,347,New York,East,Major Market
01-01-2010,7,Regular Espresso,Espresso,Regular,490,175,262,228,87,63,1459,200,210,270,480,631,New York,East,Major Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,61,-172,-44,105,128,95,725,-170,100,-50,50,315,New York,East,Major Market
01-01-2010,2,Columbian,Coffee,Regular,678,262,407,271,145,94,2101,260,260,380,640,716,New York,East,Major Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,483,111,238,245,127,93,1419,100,180,190,370,607,New York,East,Major Market
01-01-2010,10,Mint,Herbal Tea,Decaf,180,-113,-27,207,86,64,965,-70,150,-10,140,845,New York,East,Major Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,180,70,113,67,43,20,400,80,50,100,150,337,Louisiana,South,Small Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,150,48,89,61,41,19,390,50,50,70,120,337,Louisiana,South,Small Market
01-01-2010,8,Chamomile,Herbal Tea,Decaf,112,35,63,49,28,16,623,40,40,60,100,337,Louisiana,South,Small Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,190,40,105,85,65,32,494,40,80,100,180,504,Louisiana,South,Small Market
01-01-2010,4,Caffe Latte,Espresso,Regular,180,8,105,75,97,68,522,10,60,90,150,504,Louisiana,South,Small Market
01-01-2010,2,Columbian,Coffee,Regular,85,30,51,34,21,9,777,50,40,60,100,225,Louisiana,South,Small Market
01-01-2010,3,Decaf Irish Cream,Coffee,Decaf,81,28,48,33,20,9,777,50,40,60,100,985,Louisiana,South,Small Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,90,-10,53,37,63,34,261,-10,30,40,70,505,New Mexico,South,Small Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,82,9,47,35,38,11,196,10,30,40,70,505,New Mexico,South,Small Market
01-01-2010,8,Chamomile,Herbal Tea,Decaf,45,11,27,18,16,5,821,20,10,30,40,505,New Mexico,South,Small Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,62,4,34,28,30,8,965,20,20,40,60,505,New Mexico,South,Small Market
01-01-2010,4,Caffe Latte,Espresso,Regular,65,-8,36,29,44,11,169,0,20,30,50,505,New Mexico,South,Small Market
01-01-2010,2,Columbian,Coffee,Regular,120,26,72,48,46,15,372,50,60,90,150,505,New Mexico,South,Small Market
01-01-2010,3,Decaf Irish Cream,Coffee,Decaf,99,-39,11,88,50,27,525,-30,110,10,120,505,New Mexico,South,Small Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,80,28,48,32,20,8,456,40,20,40,60,405,Oklahoma,South,Small Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,210,67,126,84,59,27,651,70,70,110,180,405,Oklahoma,South,Small Market
01-01-2010,8,Chamomile,Herbal Tea,Decaf,120,13,66,54,53,20,312,20,50,60,110,918,Oklahoma,South,Small Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,190,10,111,79,101,72,551,30,70,110,180,580,Oklahoma,South,Small Market
01-01-2010,4,Caffe Latte,Espresso,Regular,200,66,116,84,50,26,500,70,70,100,170,405,Oklahoma,South,Small Market
01-01-2010,2,Columbian,Coffee,Regular,100,29,56,44,27,14,623,50,50,70,120,580,Oklahoma,South,Small Market
01-01-2010,3,Decaf Irish Cream,Coffee,Decaf,80,28,48,32,20,8,821,50,40,60,100,580,Oklahoma,South,Small Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,219,95,130,89,35,24,777,90,70,110,180,325,Texas,South,Major Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,134,54,80,54,26,15,456,60,40,70,110,956,Texas,South,Major Market
01-01-2010,8,Chamomile,Herbal Tea,Decaf,140,33,80,60,47,19,336,50,50,80,130,281,Texas,South,Major Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,140,42,83,57,41,18,364,50,50,80,130,254,Texas,South,Major Market
01-01-2010,4,Caffe Latte,Espresso,Regular,180,53,108,72,55,23,558,50,60,90,150,830,Texas,South,Major Market
01-01-2010,2,Columbian,Coffee,Regular,452,159,245,207,86,64,965,220,260,300,560,409,Texas,South,Major Market
01-01-2010,3,Decaf Irish Cream,Coffee,Decaf,190,68,107,83,39,27,623,100,100,130,230,325,Texas,South,Major Market
01-01-2010,4,Caffe Latte,Espresso,Regular,114,44,68,46,24,12,777,40,40,60,100,435,Utah,West,Small Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,112,34,63,49,29,16,623,40,40,60,100,435,Utah,West,Small Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,123,47,73,50,26,14,821,50,40,70,110,435,Utah,West,Small Market
01-01-2010,8,Chamomile,Herbal Tea,Decaf,93,21,55,38,34,12,241,30,30,50,80,801,Utah,West,Small Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,120,25,72,48,47,15,372,30,40,60,100,435,Utah,West,Small Market
01-01-2010,10,Mint,Herbal Tea,Decaf,99,-40,11,88,51,27,525,-30,70,10,80,435,Utah,West,Small Market
01-01-2010,11,Darjeeling,Tea,Regular,90,-10,53,37,63,34,261,0,20,40,60,435,Utah,West,Small Market
01-01-2010,12,Earl Grey,Tea,Regular,82,9,47,35,38,11,196,10,20,30,50,435,Utah,West,Small Market
01-01-2010,13,Green Tea,Tea,Regular,65,-9,36,29,45,11,169,10,10,30,40,435,Utah,West,Small Market
01-01-2010,1,Amaretto,Coffee,Regular,170,47,92,78,45,24,965,80,90,120,210,801,Utah,West,Small Market
01-01-2010,2,Columbian,Coffee,Regular,130,30,75,55,45,18,312,70,60,100,160,435,Utah,West,Small Market
01-01-2010,3,Decaf Irish Cream,Coffee,Decaf,190,39,105,85,66,32,494,70,100,130,230,801,Utah,West,Small Market
01-01-2010,4,Caffe Latte,Espresso,Regular,456,140,228,228,88,63,1459,150,210,220,430,661,California,West,Major Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,250,17,145,105,128,95,725,20,100,140,240,818,California,West,Major Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,546,203,312,234,109,77,1310,200,220,300,520,213,California,West,Major Market
01-01-2010,8,Chamomile,Herbal Tea,Decaf,234,102,139,95,37,26,821,100,80,120,200,510,California,West,Major Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,452,160,245,207,85,64,965,160,170,220,390,310,California,West,Major Market
01-01-2010,10,Mint,Herbal Tea,Decaf,190,67,107,83,40,27,623,60,70,90,160,707,California,West,Major Market
01-01-2010,11,Darjeeling,Tea,Regular,219,94,130,89,36,24,777,80,50,90,140,619,California,West,Major Market
01-01-2010,12,Earl Grey,Tea,Regular,134,54,80,54,26,15,456,60,30,60,90,650,California,West,Major Market
01-01-2010,13,Green Tea,Tea,Regular,180,54,108,72,54,23,558,50,40,80,120,760,California,West,Major Market
01-01-2010,1,Amaretto,Coffee,Regular,145,-2,50,95,52,30,608,30,110,70,180,916,California,West,Major Market
01-01-2010,2,Columbian,Coffee,Regular,678,262,407,271,145,94,2101,370,340,500,840,559,California,West,Major Market
01-01-2010,3,Decaf Irish Cream,Coffee,Decaf,118,-117,-26,144,91,47,862,-120,180,-40,140,650,California,West,Major Market
01-01-2010,4,Caffe Latte,Espresso,Regular,43,11,26,17,15,4,777,20,10,30,40,775,Nevada,West,Small Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,45,10,27,18,17,5,821,20,10,30,40,702,Nevada,West,Small Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,43,11,26,17,15,4,777,20,10,30,40,775,Nevada,West,Small Market
01-01-2010,3,Decaf Irish Cream,Coffee,Decaf,62,4,34,28,30,8,965,20,30,40,70,775,Nevada,West,Small Market
01-01-2010,8,Chamomile,Herbal Tea,Decaf,250,16,145,105,129,95,725,30,90,130,220,702,Nevada,West,Small Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,345,111,201,144,90,47,862,120,120,180,300,775,Nevada,West,Small Market
01-01-2010,10,Mint,Herbal Tea,Decaf,234,86,139,95,53,30,608,90,80,120,200,702,Nevada,West,Small Market
01-01-2010,11,Darjeeling,Tea,Regular,546,203,312,234,109,77,1310,150,150,220,370,775,Nevada,West,Small Market
01-01-2010,12,Earl Grey,Tea,Regular,456,141,228,228,87,63,1459,100,150,160,310,775,Nevada,West,Small Market
01-01-2010,13,Green Tea,Tea,Regular,17,-354,-245,245,126,93,1419,-240,160,-160,0,702,Nevada,West,Small Market
01-01-2010,2,Columbian,Coffee,Regular,76,-3,42,34,45,12,197,10,40,50,90,702,Nevada,West,Small Market
01-01-2010,4,Caffe Latte,Espresso,Regular,130,16,72,58,56,22,338,20,50,70,120,503,Oregon,West,Small Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,140,33,80,60,47,19,336,50,50,80,130,503,Oregon,West,Small Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,341,99,171,170,72,47,1091,100,160,160,320,971,Oregon,West,Small Market
01-01-2010,3,Decaf Irish Cream,Coffee,Decaf,140,42,83,57,41,18,364,70,70,100,170,971,Oregon,West,Small Market
01-01-2010,8,Chamomile,Herbal Tea,Decaf,90,33,54,36,21,10,777,40,30,40,70,971,Oregon,West,Small Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,100,29,56,44,27,14,623,30,30,50,80,503,Oregon,West,Small Market
01-01-2010,11,Darjeeling,Tea,Regular,80,28,48,32,20,8,456,30,20,30,50,971,Oregon,West,Small Market
01-01-2010,12,Earl Grey,Tea,Regular,210,68,126,84,58,27,651,60,50,90,140,503,Oregon,West,Small Market
01-01-2010,13,Green Tea,Tea,Regular,200,67,116,84,49,26,500,50,50,80,130,541,Oregon,West,Small Market
01-01-2010,1,Amaretto,Coffee,Regular,150,1,87,63,86,57,435,40,70,110,180,541,Oregon,West,Small Market
01-01-2010,2,Columbian,Coffee,Regular,160,28,93,67,65,22,400,60,80,120,200,503,Oregon,West,Small Market
01-01-2010,4,Caffe Latte,Espresso,Regular,110,35,62,48,27,15,623,40,40,60,100,425,Washington,West,Small Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,120,13,66,54,53,20,312,20,50,60,110,253,Washington,West,Small Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,150,39,81,69,42,21,965,60,60,80,140,206,Washington,West,Small Market
01-01-2010,3,Decaf Irish Cream,Coffee,Decaf,190,9,111,79,102,72,551,60,90,140,230,509,Washington,West,Small Market
01-01-2010,8,Chamomile,Herbal Tea,Decaf,310,115,186,124,71,40,961,120,100,170,270,206,Washington,West,Small Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,85,30,51,34,21,9,777,50,20,50,70,360,Washington,West,Small Market
01-01-2010,11,Darjeeling,Tea,Regular,180,70,113,67,43,20,400,50,40,80,120,360,Washington,West,Small Market
01-01-2010,12,Earl Grey,Tea,Regular,150,48,89,61,41,19,390,40,40,60,100,253,Washington,West,Small Market
01-01-2010,13,Green Tea,Tea,Regular,180,8,105,75,97,68,522,20,40,80,120,360,Washington,West,Small Market
01-01-2010,2,Columbian,Coffee,Regular,130,38,77,53,39,16,338,70,60,100,160,206,Washington,West,Small Market
02-01-2010,1,Amaretto,Coffee,Regular,243,105,144,99,39,27,766,120,100,150,250,303,Colorado,Central,Major Market
02-01-2010,2,Columbian,Coffee,Regular,190,68,107,83,39,27,613,80,80,110,190,720,Colorado,Central,Major Market
02-01-2010,3,Decaf Irish Cream,Coffee,Decaf,232,99,137,95,38,26,809,110,100,140,240,719,Colorado,Central,Major Market
02-01-2010,13,Green Tea,Tea,Regular,100,30,56,44,26,14,618,30,30,50,80,970,Colorado,Central,Major Market
02-01-2010,5,Caffe Mocha,Espresso,Regular,189,80,112,77,32,21,449,110,80,140,220,970,Colorado,Central,Major Market
02-01-2010,6,Decaf Espresso,Espresso,Decaf,189,59,114,75,55,24,549,90,80,140,220,303,Colorado,Central,Major Market
02-01-2010,8,Chamomile,Herbal Tea,Decaf,340,99,170,170,71,47,1073,100,140,150,290,970,Colorado,Central,Major Market
02-01-2010,9,Lemon,Herbal Tea,Decaf,129,-3,75,54,78,49,427,10,40,70,110,970,Colorado,Central,Major Market
02-01-2010,10,Mint,Herbal Tea,Decaf,140,33,80,60,47,19,329,40,50,70,120,303,Colorado,Central,Major Market
02-01-2010,11,Darjeeling,Tea,Regular,132,18,73,59,55,22,331,10,50,60,110,719,Colorado,Central,Major Market
02-01-2010,12,Earl Grey,Tea,Regular,136,34,74,62,40,19,958,30,50,60,110,720,Colorado,Central,Major Market
02-01-2010,2,Columbian,Coffee,Regular,354,115,206,148,91,48,844,140,150,220,370,312,Illinois,Central,Major Market
02-01-2010,3,Decaf Irish Cream,Coffee,Decaf,254,95,150,104,55,33,596,100,110,150,260,847,Illinois,Central,Major Market
02-01-2010,5,Caffe Mocha,Espresso,Regular,545,201,311,234,110,77,1282,260,270,370,640,708,Illinois,Central,Major Market
02-01-2010,6,Decaf Espresso,Espresso,Decaf,457,142,229,228,87,63,1436,180,260,270,530,312,Illinois,Central,Major Market
02-01-2010,8,Chamomile,Herbal Tea,Decaf,243,105,144,99,39,27,766,110,80,130,210,815,Illinois,Central,Major Market
02-01-2010,9,Lemon,Herbal Tea,Decaf,190,68,107,83,39,27,613,60,70,90,160,773,Illinois,Central,Major Market
02-01-2010,10,Mint,Herbal Tea,Decaf,232,99,137,95,38,26,809,100,80,120,200,847,Illinois,Central,Major Market
02-01-2010,11,Darjeeling,Tea,Regular,189,79,112,77,33,21,449,80,60,100,160,309,Illinois,Central,Major Market
02-01-2010,12,Earl Grey,Tea,Regular,189,59,114,75,55,24,549,50,60,100,160,630,Illinois,Central,Major Market
02-01-2010,1,Amaretto,Coffee,Regular,45,10,27,18,17,5,818,20,10,30,40,712,Iowa,Central,Small Market
02-01-2010,2,Columbian,Coffee,Regular,63,6,35,28,29,8,961,20,20,40,60,319,Iowa,Central,Small Market
02-01-2010,3,Decaf Irish Cream,Coffee,Decaf,54,12,31,23,19,7,620,20,20,30,50,712,Iowa,Central,Small Market
02-01-2010,5,Caffe Mocha,Espresso,Regular,47,11,28,19,17,5,774,20,20,30,50,319,Iowa,Central,Small Market
02-01-2010,6,Decaf Espresso,Espresso,Decaf,43,32,43,0,11,0,774,40,0,50,50,712,Iowa,Central,Small Market
02-01-2010,8,Chamomile,Herbal Tea,Decaf,545,201,311,234,110,77,1282,190,200,270,470,563,Iowa,Central,Small Market
02-01-2010,9,Lemon,Herbal Tea,Decaf,254,95,150,104,55,33,596,110,80,140,220,563,Iowa,Central,Small Market
02-01-2010,11,Darjeeling,Tea,Regular,457,141,229,228,88,63,1436,140,190,210,400,563,Iowa,Central,Small Market
02-01-2010,12,Earl Grey,Tea,Regular,534,169,294,240,125,91,1391,150,200,260,460,515,Iowa,Central,Small Market
02-01-2010,2,Columbian,Coffee,Regular,193,42,107,86,65,32,484,50,90,110,200,314,Missouri,Central,Small Market
02-01-2010,3,Decaf Irish Cream,Coffee,Decaf,165,46,90,75,44,23,956,60,70,100,170,816,Missouri,Central,Small Market
02-01-2010,13,Green Tea,Tea,Regular,74,-4,41,33,45,12,193,0,20,40,60,573,Missouri,Central,Small Market
02-01-2010,5,Caffe Mocha,Espresso,Regular,123,48,73,50,25,14,814,70,50,90,140,573,Missouri,Central,Small Market
02-01-2010,6,Decaf Espresso,Espresso,Decaf,103,38,61,42,23,11,771,60,40,80,120,573,Missouri,Central,Small Market
02-01-2010,8,Chamomile,Herbal Tea,Decaf,104,-8,61,43,69,39,256,10,30,60,90,636,Missouri,Central,Small Market
02-01-2010,9,Lemon,Herbal Tea,Decaf,102,-32,18,84,50,26,625,-20,70,10,80,417,Missouri,Central,Small Market
02-01-2010,11,Darjeeling,Tea,Regular,82,9,47,35,38,11,191,10,30,40,70,816,Missouri,Central,Small Market
02-01-2010,12,Earl Grey,Tea,Regular,68,-7,38,30,45,11,165,-10,20,30,50,314,Missouri,Central,Small Market
02-01-2010,1,Amaretto,Coffee,Regular,140,33,80,60,47,19,329,50,60,80,140,937,Ohio,Central,Major Market
02-01-2010,2,Columbian,Coffee,Regular,128,38,76,52,38,16,357,50,50,80,130,513,Ohio,Central,Major Market
02-01-2010,3,Decaf Irish Cream,Coffee,Decaf,129,-3,75,54,78,49,427,20,50,80,130,614,Ohio,Central,Major Market
02-01-2010,11,Darjeeling,Tea,Regular,200,62,120,80,58,26,640,60,60,110,170,614,Ohio,Central,Major Market
